srun --overcommit -p batch -N 1 -n 200 ./APSP_MPI_sync testcase/v200_e20k.in v200_e20k.out 200
0, 0.761752, 0.094126, 0.049236, 0.094126, 0.380208, 0.144056, 0.011308, 0.000000, 0.000000, 0.006190, 0.093612
4, 0.759676, 0.093924, 0.120005, 0.093924, 0.106610, 0.345213, 0.063225, 0.000002, 0.000000, 0.007210, 0.093452
128, 0.761009, 0.093825, 0.107391, 0.093825, 0.233252, 0.232716, 0.019252, 0.000001, 0.000000, 0.005028, 0.093335
6, 0.761178, 0.094170, 0.128639, 0.094170, 0.261860, 0.182338, 0.004961, 0.000001, 0.000000, 0.007203, 0.093686
16, 0.758903, 0.093639, 0.118052, 0.093639, 0.098510, 0.355064, 0.019586, 0.000002, 0.000000, 0.004239, 0.093165
18, 0.760227, 0.093789, 0.136871, 0.093789, 0.175053, 0.260725, 0.055182, 0.000002, 0.000000, 0.006266, 0.093317
130, 0.760422, 0.094110, 0.111974, 0.094110, 0.167535, 0.292692, 0.004846, 0.000001, 0.000000, 0.004198, 0.093650
132, 0.760940, 0.094224, 0.105637, 0.094224, 0.252717, 0.214139, 0.018876, 0.000002, 0.000000, 0.006620, 0.093736
144, 0.759057, 0.093967, 0.094539, 0.093967, 0.137472, 0.339112, 0.008902, 0.000002, 0.000000, 0.004802, 0.093447
145, 0.760789, 0.094189, 0.106086, 0.094189, 0.275831, 0.190495, 0.006533, 0.000001, 0.000000, 0.004498, 0.093684
148, 0.760478, 0.093903, 0.111388, 0.093903, 0.172001, 0.289283, 0.043243, 0.000001, 0.000000, 0.004214, 0.093467
152, 0.760987, 0.094295, 0.104741, 0.094295, 0.266499, 0.201156, 0.010807, 0.000017, 0.000000, 0.006152, 0.093815
153, 0.760838, 0.094399, 0.108056, 0.094399, 0.270884, 0.193101, 0.004981, 0.000001, 0.000000, 0.006119, 0.093940
154, 0.761892, 0.094506, 0.100712, 0.094506, 0.304810, 0.167359, 0.004847, 0.000001, 0.000000, 0.004537, 0.094022
160, 0.759026, 0.093759, 0.108432, 0.093759, 0.097159, 0.365917, 0.030014, 0.000002, 0.000000, 0.006148, 0.093324
168, 0.762453, 0.094041, 0.104363, 0.094041, 0.323740, 0.146269, 0.004979, 0.000000, 0.000000, 0.004492, 0.093548
176, 0.759239, 0.093953, 0.092595, 0.093953, 0.129875, 0.348863, 0.012826, 0.000001, 0.000000, 0.004961, 0.093448
1, 0.762568, 0.094720, 0.130012, 0.094720, 0.310908, 0.132209, 0.007125, 0.000001, 0.000000, 0.005399, 0.094115
8, 0.760343, 0.094130, 0.125619, 0.094130, 0.164343, 0.282121, 0.051542, 0.000001, 0.000000, 0.006153, 0.093672
