srun --overcommit -p batch -N 1 -n 200 ./APSP_MPI_sync testcase/v200_e200.in v200_e200.out 200
10, 0.681882, 0.123177, 0.041262, 0.123177, 0.029904, 0.364362
30, 0.683869, 0.122567, 0.039672, 0.122567, 0.028057, 0.371006
71, 0.684623, 0.121742, 0.041533, 0.121742, 0.026577, 0.373029
73, 0.680977, 0.122579, 0.022130, 0.122579, 0.027086, 0.386604
102, 0.683351, 0.122288, 0.025266, 0.122288, 0.024122, 0.389386
106, 0.681685, 0.122109, 0.026000, 0.122109, 0.024372, 0.387094
107, 0.681790, 0.122722, 0.040799, 0.122722, 0.023734, 0.371812
125, 0.683059, 0.123024, 0.040713, 0.123024, 0.018901, 0.377398
129, 0.682607, 0.122648, 0.036597, 0.122648, 0.016495, 0.384218
132, 0.681682, 0.122961, 0.041923, 0.122961, 0.016981, 0.376857
134, 0.683933, 0.122944, 0.036559, 0.122944, 0.014408, 0.387077
137, 0.680792, 0.122784, 0.041422, 0.122784, 0.016498, 0.377305
144, 0.682432, 0.122824, 0.025132, 0.122824, 0.013979, 0.397672
145, 0.681983, 0.122752, 0.020946, 0.122752, 0.031665, 0.383868
165, 0.681345, 0.121987, 0.021141, 0.121987, 0.030689, 0.385542
166, 0.682782, 0.122030, 0.042757, 0.122030, 0.013192, 0.382773
7, 0.684288, 0.123224, 0.022683, 0.123224, 0.040990, 0.374166
11, 0.682082, 0.123310, 0.028284, 0.123310, 0.043006, 0.364172
20, 0.682467, 0.122932, 0.035648, 0.122932, 0.032596, 0.368360
21, 0.682577, 0.123019, 0.035878, 0.123019, 0.032719, 0.367942
22, 0.684507, 0.122943, 0.037661, 0.122943, 0.027251, 0.373708
39, 0.684956, 0.123252, 0.035575, 0.123252, 0.030356, 0.372521
80, 0.682435, 0.123621, 0.038182, 0.123621, 0.023493, 0.373517
101, 0.683012, 0.123159, 0.039876, 0.123159, 0.022941, 0.373876
116, 0.683029, 0.122996, 0.025903, 0.122996, 0.035383, 0.375751
117, 0.683370, 0.123189, 0.039790, 0.123189, 0.020128, 0.377074
121, 0.683417, 0.123156, 0.038607, 0.123156, 0.021705, 0.376793
148, 0.682951, 0.122781, 0.039609, 0.122781, 0.016696, 0.381085
152, 0.683206, 0.122290, 0.023648, 0.122290, 0.014898, 0.400081
167, 0.684199, 0.122294, 0.033699, 0.122294, 0.022475, 0.383438
195, 0.684164, 0.121879, 0.040586, 0.121879, 0.011563, 0.388258
197, 0.682344, 0.121663, 0.038751, 0.121663, 0.006460, 0.393806
13, 0.682511, 0.123768, 0.042017, 0.123768, 0.027481, 0.365478
82, 0.682135, 0.123089, 0.021315, 0.123089, 0.026801, 0.387842
84, 0.683005, 0.123557, 0.028873, 0.123557, 0.027901, 0.379116
85, 0.683239, 0.123884, 0.038862, 0.123884, 0.024210, 0.372400
86, 0.684673, 0.123775, 0.037787, 0.123775, 0.019353, 0.379982
87, 0.684740, 0.123811, 0.039438, 0.123811, 0.020985, 0.376695
103, 0.685076, 0.122971, 0.037519, 0.122971, 0.024166, 0.377450
108, 0.683199, 0.123402, 0.027230, 0.123402, 0.027420, 0.381745
109, 0.683546, 0.123613, 0.023865, 0.123613, 0.021266, 0.391189
110, 0.685096, 0.123473, 0.043941, 0.123473, 0.018792, 0.375418
130, 0.682322, 0.123100, 0.031963, 0.123100, 0.013453, 0.390706
131, 0.682530, 0.123351, 0.039326, 0.123351, 0.019433, 0.377069
150, 0.682950, 0.123057, 0.036502, 0.123057, 0.015482, 0.384851
151, 0.684282, 0.123020, 0.040891, 0.123020, 0.015365, 0.381986
153, 0.681868, 0.122627, 0.045077, 0.122627, 0.012457, 0.379079
161, 0.682455, 0.122535, 0.043073, 0.122535, 0.013026, 0.381286
27, 0.681968, 0.123278, 0.019960, 0.123278, 0.042218, 0.373235
61, 0.683381, 0.122466, 0.038862, 0.122466, 0.031671, 0.367916
111, 0.685266, 0.123701, 0.037107, 0.123701, 0.021245, 0.379512
127, 0.684975, 0.123674, 0.031649, 0.123674, 0.019078, 0.386901
146, 0.683342, 0.123627, 0.025507, 0.123627, 0.022520, 0.388061
147, 0.684852, 0.123633, 0.042417, 0.123633, 0.016418, 0.378751
156, 0.681685, 0.122822, 0.039382, 0.122822, 0.013717, 0.382943
157, 0.683368, 0.122747, 0.026052, 0.122747, 0.032059, 0.379763
31, 0.684830, 0.123522, 0.032877, 0.123522, 0.033764, 0.371144
81, 0.683171, 0.124273, 0.026911, 0.124273, 0.034221, 0.373493
88, 0.684092, 0.123331, 0.020581, 0.123331, 0.025423, 0.391428
168, 0.683872, 0.122934, 0.023770, 0.122934, 0.013778, 0.400455
169, 0.683022, 0.122948, 0.042256, 0.122948, 0.012576, 0.382295
172, 0.681950, 0.122906, 0.038047, 0.122906, 0.013296, 0.384795
173, 0.683743, 0.122883, 0.037930, 0.122883, 0.011408, 0.388639
5, 0.682641, 0.124221, 0.037434, 0.124221, 0.030661, 0.366104
17, 0.680959, 0.121357, 0.021261, 0.121357, 0.046036, 0.370947
23, 0.685596, 0.123990, 0.042443, 0.123990, 0.026266, 0.368907
37, 0.683182, 0.124063, 0.037461, 0.124063, 0.031418, 0.366177
89, 0.684389, 0.123524, 0.035231, 0.123524, 0.025566, 0.376544
118, 0.685498, 0.124273, 0.034244, 0.124273, 0.018048, 0.384659
119, 0.686035, 0.124374, 0.041490, 0.124374, 0.018646, 0.377151
123, 0.683365, 0.123975, 0.026794, 0.123975, 0.031120, 0.377501
138, 0.682821, 0.123342, 0.039582, 0.123342, 0.016429, 0.380126
139, 0.683480, 0.123719, 0.040576, 0.123719, 0.018844, 0.376624
154, 0.683647, 0.123429, 0.039529, 0.123429, 0.015399, 0.381861
29, 0.684038, 0.124408, 0.035853, 0.124408, 0.031839, 0.367531
52, 0.683919, 0.123590, 0.043066, 0.123590, 0.026235, 0.367437
54, 0.685928, 0.123561, 0.022987, 0.123561, 0.028615, 0.387204
55, 0.686018, 0.123639, 0.042451, 0.123639, 0.027318, 0.368970
114, 0.683916, 0.124446, 0.026086, 0.124446, 0.019569, 0.389369
115, 0.684001, 0.124574, 0.039258, 0.124574, 0.019522, 0.376071
140, 0.684291, 0.124091, 0.041985, 0.124091, 0.012604, 0.381520
65, 0.684376, 0.123686, 0.028171, 0.123686, 0.024781, 0.384052
133, 0.683440, 0.124769, 0.030284, 0.124769, 0.028388, 0.375229
155, 0.686540, 0.124030, 0.038104, 0.124030, 0.015203, 0.385173
176, 0.684863, 0.123603, 0.025978, 0.123603, 0.019665, 0.392014
178, 0.684681, 0.123801, 0.036711, 0.123801, 0.014005, 0.386362
180, 0.685120, 0.123705, 0.029800, 0.123705, 0.021989, 0.385921
181, 0.683295, 0.123558, 0.036918, 0.123558, 0.017640, 0.381621
182, 0.684440, 0.123778, 0.035056, 0.123778, 0.019571, 0.382258
183, 0.685577, 0.123765, 0.038467, 0.123765, 0.011415, 0.388164
63, 0.686286, 0.123765, 0.040153, 0.123765, 0.028312, 0.370291
83, 0.684018, 0.125165, 0.036879, 0.125165, 0.021881, 0.374929
179, 0.686265, 0.123958, 0.041089, 0.123958, 0.009434, 0.387826
184, 0.685407, 0.124200, 0.035140, 0.124200, 0.015510, 0.386358
185, 0.683570, 0.124186, 0.043669, 0.124186, 0.012928, 0.378601
188, 0.683452, 0.124062, 0.038241, 0.124062, 0.012948, 0.384140
90, 0.683237, 0.124582, 0.027883, 0.124582, 0.022271, 0.383918
91, 0.683464, 0.124778, 0.025694, 0.124778, 0.035277, 0.372937
141, 0.685295, 0.125308, 0.044437, 0.125308, 0.013320, 0.376921
149, 0.683390, 0.124748, 0.039114, 0.124748, 0.015868, 0.378910
162, 0.685614, 0.124617, 0.042227, 0.124617, 0.012170, 0.381984
186, 0.685243, 0.124468, 0.042556, 0.124468, 0.009352, 0.384399
189, 0.685173, 0.124075, 0.042497, 0.124075, 0.009684, 0.384842
190, 0.685608, 0.124415, 0.040330, 0.124415, 0.011528, 0.384921
191, 0.686879, 0.124326, 0.042821, 0.124326, 0.009534, 0.385872
163, 0.686911, 0.124668, 0.039116, 0.124668, 0.013922, 0.384538
170, 0.684209, 0.124676, 0.024574, 0.124676, 0.024827, 0.385456
171, 0.687393, 0.124702, 0.038429, 0.124702, 0.016314, 0.383245
174, 0.685814, 0.124708, 0.041907, 0.124708, 0.011822, 0.382669
177, 0.684692, 0.124343, 0.022480, 0.124343, 0.027942, 0.385583
53, 0.685898, 0.124795, 0.035504, 0.124795, 0.029334, 0.371470
158, 0.685771, 0.125027, 0.040578, 0.125027, 0.015888, 0.379249
